TJ;CustomerDaoImpl.getCustomerByEmail(..);Y;601ms
TS;MovieController.searchMovie(..);Y;10ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;2ms
TS;MovieController.searchMovie(..);Y;2ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;11ms
TS;MovieController.searchMovie(..);Y;11ms
TJ;MovieDaoImpl.searchMovie(..);Y;3ms
TS;MovieController.searchMovie(..);Y;3ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;5ms
TS;MovieController.searchMovie(..);Y;5ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;2ms
TJ;MovieDaoImpl.searchMovie(..);Y;6ms
TS;MovieController.searchMovie(..);Y;6ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;2ms
TJ;MovieDaoImpl.searchMovie(..);Y;2ms
TS;MovieController.searchMovie(..);Y;2ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;4ms
TS;MovieController.searchMovie(..);Y;4ms
TJ;MovieDaoImpl.searchMovie(..);Y;0ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;2ms
TS;MovieController.searchMovie(..);Y;2ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;2ms
TS;MovieController.searchMovie(..);Y;2ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;3ms
TS;MovieController.searchMovie(..);Y;3ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;2ms
TS;MovieController.searchMovie(..);Y;2ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;2ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;22ms
TS;MovieController.searchMovie(..);Y;22ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;3ms
TS;MovieController.searchMovie(..);Y;3ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;2ms
TS;MovieController.searchMovie(..);Y;2ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;2ms
TS;MovieController.searchMovie(..);Y;2ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;2ms
TS;MovieController.searchMovie(..);Y;2ms
TJ;MovieDaoImpl.searchMovie(..);Y;35ms
TS;MovieController.searchMovie(..);Y;35ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;2ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;2ms
TS;MovieController.searchMovie(..);Y;2ms
TJ;MovieDaoImpl.searchMovie(..);Y;0ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;4ms
TS;MovieController.searchMovie(..);Y;4ms
TJ;MovieDaoImpl.searchMovie(..);Y;0ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;8ms
TS;MovieController.searchMovie(..);Y;8ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;2ms
TS;MovieController.searchMovie(..);Y;2ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;5ms
TS;MovieController.searchMovie(..);Y;5ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;2ms
TS;MovieController.searchMovie(..);Y;2ms
TJ;MovieDaoImpl.searchMovie(..);Y;3ms
TS;MovieController.searchMovie(..);Y;3ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;3ms
TS;MovieController.searchMovie(..);Y;3ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;2ms
TS;MovieController.searchMovie(..);Y;2ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;2ms
TS;MovieController.searchMovie(..);Y;2ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;2ms
TS;MovieController.searchMovie(..);Y;3ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;0ms
TS;MovieController.searchMovie(..);Y;0ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;8ms
TS;MovieController.searchMovie(..);Y;8ms
TJ;MovieDaoImpl.searchMovie(..);Y;2ms
TS;MovieController.searchMovie(..);Y;2ms
TJ;MovieDaoImpl.searchMovie(..);Y;2ms
TS;MovieController.searchMovie(..);Y;2ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;2ms
TS;MovieController.searchMovie(..);Y;2ms
TJ;MovieDaoImpl.searchMovie(..);Y;4ms
TS;MovieController.searchMovie(..);Y;4ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;0ms
TS;MovieController.searchMovie(..);Y;0ms
TJ;MovieDaoImpl.searchMovie(..);Y;2ms
TS;MovieController.searchMovie(..);Y;2ms
TJ;MovieDaoImpl.searchMovie(..);Y;0ms
TS;MovieController.searchMovie(..);Y;0ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;18ms
TS;MovieController.searchMovie(..);Y;18ms
TJ;MovieDaoImpl.searchMovie(..);Y;6ms
TS;MovieController.searchMovie(..);Y;6ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;0ms
TS;MovieController.searchMovie(..);Y;0ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;2ms
TS;MovieController.searchMovie(..);Y;2ms
TJ;MovieDaoImpl.searchMovie(..);Y;2ms
TS;MovieController.searchMovie(..);Y;2ms
TJ;MovieDaoImpl.searchMovie(..);Y;0ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;4ms
TS;MovieController.searchMovie(..);Y;4ms
TJ;MovieDaoImpl.searchMovie(..);Y;2ms
TS;MovieController.searchMovie(..);Y;2ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;3ms
TS;MovieController.searchMovie(..);Y;3ms
TJ;MovieDaoImpl.searchMovie(..);Y;2ms
TS;MovieController.searchMovie(..);Y;2ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;3ms
TS;MovieController.searchMovie(..);Y;3ms
TJ;MovieDaoImpl.searchMovie(..);Y;10ms
TS;MovieController.searchMovie(..);Y;10ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;3ms
TS;MovieController.searchMovie(..);Y;3ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;2ms
TS;MovieController.searchMovie(..);Y;2ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;0ms
TS;MovieController.searchMovie(..);Y;0ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;3ms
TS;MovieController.searchMovie(..);Y;3ms
TJ;MovieDaoImpl.searchMovie(..);Y;2ms
TS;MovieController.searchMovie(..);Y;2ms
TJ;MovieDaoImpl.searchMovie(..);Y;9ms
TS;MovieController.searchMovie(..);Y;9ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;0ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;2ms
TS;MovieController.searchMovie(..);Y;2ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;2ms
TS;MovieController.searchMovie(..);Y;2ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;0ms
TS;MovieController.searchMovie(..);Y;0ms
TJ;MovieDaoImpl.searchMovie(..);Y;0ms
TS;MovieController.searchMovie(..);Y;0ms
TJ;MovieDaoImpl.searchMovie(..);Y;2ms
TS;MovieController.searchMovie(..);Y;2ms
TJ;MovieDaoImpl.searchMovie(..);Y;3ms
TS;MovieController.searchMovie(..);Y;3ms
TJ;MovieDaoImpl.searchMovie(..);Y;0ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;2ms
TS;MovieController.searchMovie(..);Y;2ms
TJ;MovieDaoImpl.searchMovie(..);Y;21ms
TS;MovieController.searchMovie(..);Y;21ms
TJ;MovieDaoImpl.searchMovie(..);Y;3ms
TS;MovieController.searchMovie(..);Y;3ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;2ms
TS;MovieController.searchMovie(..);Y;3ms
TJ;MovieDaoImpl.searchMovie(..);Y;0ms
TS;MovieController.searchMovie(..);Y;0ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;2ms
TS;MovieController.searchMovie(..);Y;2ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;2ms
TS;MovieController.searchMovie(..);Y;2ms
TJ;MovieDaoImpl.searchMovie(..);Y;0ms
TS;MovieController.searchMovie(..);Y;0ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;0ms
TS;MovieController.searchMovie(..);Y;0ms
TJ;MovieDaoImpl.searchMovie(..);Y;2ms
TS;MovieController.searchMovie(..);Y;2ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;0ms
TS;MovieController.searchMovie(..);Y;0ms
TJ;MovieDaoImpl.searchMovie(..);Y;2ms
TS;MovieController.searchMovie(..);Y;2ms
TJ;MovieDaoImpl.searchMovie(..);Y;9ms
TS;MovieController.searchMovie(..);Y;10ms
TJ;MovieDaoImpl.searchMovie(..);Y;0ms
TS;MovieController.searchMovie(..);Y;2ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;8ms
TS;MovieController.searchMovie(..);Y;8ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;2ms
TS;MovieController.searchMovie(..);Y;2ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;2ms
TS;MovieController.searchMovie(..);Y;2ms
TJ;MovieDaoImpl.searchMovie(..);Y;2ms
TS;MovieController.searchMovie(..);Y;2ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;2ms
TS;MovieController.searchMovie(..);Y;2ms
TJ;MovieDaoImpl.searchMovie(..);Y;2ms
TS;MovieController.searchMovie(..);Y;2ms
TJ;MovieDaoImpl.searchMovie(..);Y;11ms
TS;MovieController.searchMovie(..);Y;11ms
TJ;MovieDaoImpl.searchMovie(..);Y;2ms
TS;MovieController.searchMovie(..);Y;2ms
TJ;MovieDaoImpl.searchMovie(..);Y;24ms
TS;MovieController.searchMovie(..);Y;24ms
TJ;MovieDaoImpl.searchMovie(..);Y;2ms
TS;MovieController.searchMovie(..);Y;2ms
TJ;MovieDaoImpl.searchMovie(..);Y;2ms
TS;MovieController.searchMovie(..);Y;2ms
TJ;MovieDaoImpl.searchMovie(..);Y;3ms
TS;MovieController.searchMovie(..);Y;3ms
TJ;MovieDaoImpl.searchMovie(..);Y;0ms
TS;MovieController.searchMovie(..);Y;0ms
TJ;MovieDaoImpl.searchMovie(..);Y;2ms
TS;MovieController.searchMovie(..);Y;2ms
TJ;MovieDaoImpl.searchMovie(..);Y;0ms
TS;MovieController.searchMovie(..);Y;0ms
TJ;MovieDaoImpl.searchMovie(..);Y;5ms
TS;MovieController.searchMovie(..);Y;5ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;2ms
TS;MovieController.searchMovie(..);Y;2ms
TJ;MovieDaoImpl.searchMovie(..);Y;2ms
TS;MovieController.searchMovie(..);Y;2ms
TJ;MovieDaoImpl.searchMovie(..);Y;2ms
TS;MovieController.searchMovie(..);Y;2ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;0ms
TS;MovieController.searchMovie(..);Y;0ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;7ms
TS;MovieController.searchMovie(..);Y;7ms
TJ;MovieDaoImpl.searchMovie(..);Y;2ms
TS;MovieController.searchMovie(..);Y;2ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;0ms
TS;MovieController.searchMovie(..);Y;0ms
TJ;MovieDaoImpl.searchMovie(..);Y;2ms
TS;MovieController.searchMovie(..);Y;2ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;2ms
TS;MovieController.searchMovie(..);Y;2ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;0ms
TS;MovieController.searchMovie(..);Y;0ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;2ms
TS;MovieController.searchMovie(..);Y;2ms
TJ;MovieDaoImpl.searchMovie(..);Y;2ms
TS;MovieController.searchMovie(..);Y;2ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;7ms
TS;MovieController.searchMovie(..);Y;7ms
TJ;MovieDaoImpl.searchMovie(..);Y;4ms
TS;MovieController.searchMovie(..);Y;4ms
TJ;MovieDaoImpl.searchMovie(..);Y;12ms
TS;MovieController.searchMovie(..);Y;12ms
TJ;MovieDaoImpl.searchMovie(..);Y;5ms
TS;MovieController.searchMovie(..);Y;5ms
TJ;MovieDaoImpl.searchMovie(..);Y;11ms
TS;MovieController.searchMovie(..);Y;11ms
TJ;MovieDaoImpl.searchMovie(..);Y;2ms
TS;MovieController.searchMovie(..);Y;2ms
TJ;MovieDaoImpl.searchMovie(..);Y;4ms
TS;MovieController.searchMovie(..);Y;4ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;3ms
TS;MovieController.searchMovie(..);Y;3ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;4ms
TS;MovieController.searchMovie(..);Y;4ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;5ms
TS;MovieController.searchMovie(..);Y;5ms
TJ;MovieDaoImpl.searchMovie(..);Y;2ms
TS;MovieController.searchMovie(..);Y;2ms
TJ;MovieDaoImpl.searchMovie(..);Y;2ms
TS;MovieController.searchMovie(..);Y;2ms
TJ;MovieDaoImpl.searchMovie(..);Y;6ms
TS;MovieController.searchMovie(..);Y;6ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;2ms
TS;MovieController.searchMovie(..);Y;2ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;2ms
TS;MovieController.searchMovie(..);Y;2ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;2ms
TJ;MovieDaoImpl.searchMovie(..);Y;3ms
TS;MovieController.searchMovie(..);Y;3ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;2ms
TS;MovieController.searchMovie(..);Y;2ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;2ms
TS;MovieController.searchMovie(..);Y;2ms
TJ;MovieDaoImpl.searchMovie(..);Y;2ms
TS;MovieController.searchMovie(..);Y;2ms
TJ;MovieDaoImpl.searchMovie(..);Y;0ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;2ms
TS;MovieController.searchMovie(..);Y;3ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;2ms
TS;MovieController.searchMovie(..);Y;2ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;4ms
TS;MovieController.searchMovie(..);Y;4ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;2ms
TS;MovieController.searchMovie(..);Y;2ms
TJ;MovieDaoImpl.searchMovie(..);Y;2ms
TS;MovieController.searchMovie(..);Y;2ms
TJ;MovieDaoImpl.searchMovie(..);Y;0ms
TS;MovieController.searchMovie(..);Y;0ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;6ms
TS;MovieController.searchMovie(..);Y;6ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
